"X(¥ìm)","Z(¥ìm)"
"7826.697 ","257.329 "
"7838.024 ","250.064 "
"7849.350 ","241.697 "
"7860.677 ","232.883 "
"7872.004 ","224.235 "
"7883.330 ","213.418 "
"7894.657 ","195.460 "
"7905.984 ","175.023 "
"7917.310 ","151.760 "
"7928.637 ","123.080 "
"7939.963 ","88.767 "
"7951.290 ","50.359 "
"7962.617 ","10.550 "
"7973.943 ","-27.557 "
"7985.270 ","-61.519 "
"7996.597 ","-89.638 "
"8007.923 ","-118.442 "
"8019.250 ","-140.429 "
"8030.576 ","-154.882 "
"8041.903 ","-170.332 "
"8053.230 ","-186.118 "
"8064.556 ","-201.724 "
"8075.883 ","-218.502 "
"8087.210 ","-234.807 "
"8098.536 ","-250.091 "
"8109.863 ","-267.267 "
"8121.189 ","-284.300 "
"8132.516 ","-302.627 "
"8143.843 ","-320.543 "
"8155.169 ","-340.939 "
"8166.496 ","-362.399 "
"8177.823 ","-382.455 "
"8189.149 ","-397.951 "
"8200.476 ","-414.828 "
"8211.802 ","-430.513 "
"8223.129 ","-446.458 "
"8234.456 ","-462.106 "
"8245.782 ","-477.344 "
"8257.109 ","-490.996 "
"8268.436 ","-506.022 "
"8279.762 ","-515.393 "
"8291.089 ","-525.385 "
"8302.415 ","-533.738 "
"8313.742 ","-542.576 "
"8325.069 ","-549.376 "
"8336.395 ","-555.387 "
"8347.722 ","-560.425 "
"8359.049 ","-565.368 "
"8370.375 ","-569.411 "
"8381.702 ","-572.483 "
"8393.028 ","-577.220 "
"8404.355 ","-580.584 "
"8415.682 ","-584.166 "
"8427.008 ","-590.504 "
"8438.335 ","-595.569 "
"8449.662 ","-600.183 "
"8460.988 ","-605.494 "
"8472.315 ","-612.921 "
"8483.641 ","-619.146 "
"8494.968 ","-624.683 "
"8506.295 ","-629.675 "
"8517.621 ","-634.744 "
"8528.948 ","-638.341 "
"8540.274 ","-641.774 "
"8551.601 ","-644.782 "
"8562.928 ","-646.055 "
"8574.254 ","-647.882 "
"8585.581 ","-648.852 "
"8596.908 ","-649.663 "
"8608.234 ","-649.686 "
"8619.561 ","-650.842 "
"8630.887 ","-649.757 "
"8642.214 ","-650.321 "
"8653.541 ","-651.219 "
"8664.867 ","-651.307 "
"8676.194 ","-650.882 "
"8687.521 ","-651.811 "
"8698.847 ","-652.663 "
"8710.174 ","-651.760 "
"8721.500 ","-651.441 "
"8732.827 ","-649.078 "
"8744.154 ","-646.883 "
"8755.480 ","-646.116 "
"8766.807 ","-643.106 "
"8778.134 ","-638.398 "
"8789.460 ","-634.061 "
"8800.787 ","-628.945 "
"8812.113 ","-622.402 "
"8823.440 ","-612.458 "
"8834.767 ","-600.978 "
"8846.093 ","-595.526 "
"8857.420 ","-581.022 "
"8868.747 ","-566.433 "
"8880.073 ","-552.054 "
"8891.400 ","-539.371 "
"8902.726 ","-528.123 "
"8914.053 ","-518.874 "
"8925.380 ","-513.391 "
"8936.706 ","-509.544 "
"8948.033 ","-505.623 "
"8959.360 ","-502.707 "
"8970.686 ","-500.827 "
"8982.013 ","-500.341 "
"8993.339 ","-501.902 "
"9004.666 ","-449.293 "
"9015.993 ","-392.661 "
"9027.319 ","-339.745 "
"9038.646 ","-287.039 "
"9049.973 ","-234.146 "
"9061.299 ","-180.944 "
"9072.626 ","-127.408 "
"9083.952 ","-73.270 "
"9095.279 ","-18.887 "
"9106.606 ","35.442 "
"9117.932 ","89.110 "
"9129.259 ","140.651 "
"9140.586 ","187.876 "
"9151.912 ","231.823 "
"9163.239 ","275.593 "
"9174.565 ","319.089 "
"9185.892 ","361.949 "
"9197.219 ","403.885 "
"9208.545 ","445.137 "
"9219.872 ","486.025 "
"9231.199 ","526.699 "
"9242.525 ","567.186 "
"9253.852 ","607.400 "
"9265.178 ","646.853 "
"9276.505 ","685.853 "
"9287.832 ","724.526 "
"9299.158 ","763.180 "
"9310.485 ","802.569 "
"9321.812 ","844.311 "
"9333.138 ","895.017 "
"9344.465 ","915.278 "
"9355.791 ","926.294 "
"9367.118 ","933.610 "
"9378.445 ","940.839 "
"9389.771 ","948.775 "
"9401.098 ","955.348 "
"9412.425 ","959.892 "
"9423.751 ","968.405 "
"9435.078 ","972.296 "
"9446.404 ","979.592 "
"9457.731 ","987.163 "
"9469.058 ","993.597 "
"9480.384 ","1003.581 "
"9491.711 ","1014.436 "
"9503.038 ","1026.018 "
"9514.364 ","1038.800 "
"9525.691 ","1051.569 "
"9537.017 ","1064.310 "
"9548.344 ","1075.996 "
"9559.671 ","1085.763 "
"9570.997 ","1094.071 "
"9582.324 ","1102.797 "
"9593.651 ","1108.959 "
"9604.977 ","1109.693 "
"9616.304 ","1112.660 "
"9627.630 ","1121.337 "
"9638.957 ","1124.263 "
"9650.284 ","1124.998 "
"9661.610 ","1125.248 "
"9672.937 ","1127.445 "
"9684.264 ","1127.284 "
"9695.590 ","1123.710 "
"9706.917 ","1128.788 "
"9718.243 ","1120.155 "
"9729.570 ","1121.957 "
"9740.897 ","1117.554 "
"9752.223 ","1111.606 "
"9763.550 ","1108.342 "
"9774.877 ","1105.329 "
"9786.203 ","1102.370 "
"9797.530 ","1101.077 "
"9808.856 ","1099.042 "
"9820.183 ","1099.506 "
"9831.510 ","1102.531 "
"9842.836 ","1106.640 "
"9854.163 ","1110.560 "
"9865.490 ","1115.556 "
"9876.816 ","1122.381 "
"9888.143 ","1128.583 "
"9899.469 ","1136.458 "
"9910.796 ","1143.320 "
"9922.123 ","1146.982 "
"9933.449 ","1151.648 "
"9944.776 ","1155.178 "
"9956.102 ","1159.514 "
"9967.429 ","1168.005 "
"9978.756 ","1169.086 "
"9990.082 ","1170.332 "
"10001.409 ","1173.335 "
"10012.736 ","1175.326 "
"10024.062 ","1178.121 "
"10035.389 ","1179.437 "
"10046.715 ","1180.734 "
"10058.042 ","1183.115 "
"10069.369 ","1185.761 "
"10080.695 ","1188.804 "
"10092.022 ","1191.108 "
"10103.349 ","1194.213 "
"10114.675 ","1197.041 "
"10126.002 ","1201.685 "
"10137.328 ","1202.260 "
"10148.655 ","1205.369 "
"10159.982 ","1209.402 "
"10171.308 ","1210.666 "
"10182.635 ","1211.962 "
"10193.962 ","1213.934 "
"10205.288 ","1216.132 "
"10216.615 ","1218.658 "
"10227.941 ","1220.565 "
"10239.268 ","1222.383 "
"10250.595 ","1223.436 "
"10261.921 ","1225.031 "
"10273.248 ","1229.843 "
"10284.575 ","1232.819 "
"10295.901 ","1235.441 "
"10307.228 ","1237.562 "
"10318.554 ","1240.161 "
"10329.881 ","1243.004 "
"10341.208 ","1245.889 "
"10352.534 ","1245.952 "
"10363.861 ","1249.312 "
"10375.188 ","1250.401 "
"10386.514 ","1250.862 "
"10397.841 ","1254.099 "
"10409.167 ","1255.534 "
"10420.494 ","1256.819 "
"10431.821 ","1259.611 "
"10443.147 ","1262.927 "
"10454.474 ","1265.386 "
"10465.801 ","1268.076 "
"10477.127 ","1273.863 "
"10488.454 ","1278.515 "
"10499.780 ","1281.998 "
"10511.107 ","1283.278 "
"10522.434 ","1287.761 "
"10533.760 ","1289.733 "
"10545.087 ","1291.741 "
"10556.414 ","1293.605 "
"10567.740 ","1293.815 "
"10579.067 ","1293.895 "
"10590.393 ","1293.118 "
"10601.720 ","1293.912 "
